No,Product Name,Price
1,GIGABYTE RTX 3090 GAMING OC 24GB GDDR6X,Rp 39.250.000
2,LEADTEK QUADRO T1000 8GB DDR6 128-bit 4port mini display,Rp 7.590.000
3,VGA ASUS DUAL RTX 3050 OC EDITION 8GB GDDR6,Rp 7.450.000
4,ASUS EKWB RTX 3090 EK 24GB GDDR6X,Rp 43.250.000
5,ASUS TUF GAMING RTX 3080 GAMING OC 12GB GDDR6X,Rp 25.950.000
6,ASUS ROG STRIX GAMING RTX 3080 OC 12GB GDDR6X,Rp 28.350.000
7,MSI GeForce RTX 3070 Ti VENTUS 3X OC 8GB GDDR6,Rp 17.350.000
8,GAINWARD GTX 1050 Ti 4GB DDR5 - Single Fan,Rp 3.280.000
9,GAINWARD RTX 2060 GHOST 12GB GDDR6,Rp 10.250.000
10,GIGABYTE RTX 3060 Ti AORUS ELITE 8GB GDDR6,Rp 14.950.000
11,VGA PNY GT 1030 2GB DDR4 LP,Rp 1.450.000
12,VGA VENOMRX GT 740 4GB DDR5,Rp 1.985.000
13,ZOTAC RTX 3080 Ti TRINITY OC 12GB GDDR6X,Rp 27.450.000
14,GAINWARD GeForce RTX 3070 PHANTOM+ 8GB GDDR6,Rp 16.250.000
15,ASUS GeForce RTX 3070 NOCTUA OC Edition 8GB GDDR6,Rp 19.650.000
16,GAINWARD GeForce RTX 3070 PHOENIX 8GB GDDR6,Rp 15.100.000
17,Gigabyte GT 730 2GB DDR3,Rp 1.199.000
18,GainWard GTX 1660 Ti Ghost 6GB GDDR6,Rp 8.050.000
19,ASUS GT 730 SL 2GB DDR5,Rp 1.150.000
20,LEADTEK NVIDIA QUADRO A4000 16GB GDDR6,Rp 21.500.000
21,VGA BIOSTAR GT 210 1GB DDR3,Rp 455.000
22,ASUS TUF GTX 1660 Ti EVO GAMING 6GB GDDR6,Rp 8.150.000
23,PALIT GT 730 2GB DDR3,Rp 1.185.000
24,ASUS TUF GAMING RTX 3070 Ti OC 8GB GDDR6X,Rp 18.250.000
25,MSI RTX 3060 Ti GAMING X 8GB GDDR6,Rp 14.450.000
26,GIGABYTE GeForce GT 710 2GB DDR3,Rp 985.000
27,MSI GEFORCE GT 730 2GB DDR3,Rp 950.000
28,GAINWARD RTX 3060 PEGASUS 12GB GDDR6,Rp 9.550.000
29,LEADTEK NVIDIA QUADRO T400 2GB GDDR6,Rp 2.450.000
30,LEADTEK NVIDIA QUADRO T600 4GB GDDR6,Rp 3.825.000
31,LEADTEK NVIDIA QUADRO T1000 4GB GDDR6,Rp 6.335.000
32,LEADTEK NVIDIA QUADRO RTX A5000 24GB GDDR6,Rp 46.000.000
33,ASUS TUF Gaming GeForce RTX 3080 Ti OC Edition 12GB GDDR6X,Rp 31.650.000
