No,Product Name,Price
1,GIGABYTE RADEON RX 6500 XT EAGLE 4GB GDDR6,Rp 4.850.000
2,GIGABYTE RADEON RX 6500 XT GAMING OC 4GB GDDR6,Rp 4.950.000
3,ASROCK RX 6500 XT PHANTOM GAMING 4GB GDDR6,Rp 4.150.000
4,ASUS TUF GAMING RX 6500 XT OC 4GB GDDR6,Rp 4.990.000
5,SAPPHIRE RX 6500 XT PULSE OC 4GB GDDR6,Rp 4.150.000
6,ASROCK RX 6600 XT CHALLENGER PRO OC 8Gb,Rp 10.350.000
7,POWERCOLOR RX 6500 XT FIGHTER 4GB GDDR6,Rp 4.250.000
8,ASUS DUAL RX 6500 XT OC 4GB GDDR6,Rp 4.750.000
9,POWERCOLOR AMD RADEON RX 6600 XT RED DEVIL 8GB GDDR6,Rp 11.250.000
10,PowerColor R7 240 2GB DDR5,Rp 1.390.000
11,BIOSTAR RX 560 4GB DDR5,Rp 2.945.000
12,MSI Radeon RX 6600 MECH 2X 8GB GDDR6,Rp 9.350.000
13,PowerColor RX 6800 FIGHTER 16GB GDDR6,Rp 19.850.000
14,ASRock Radeon RX 6600 Challenger D 8Gb GDDR6,Rp 7.950.000
15,POWERCOLOR RX 6600 HELLHOUND 8Gb GDDR6,Rp 7.990.000
16,POWERCOLOR RX 6600 FIGHTER 8Gb GDDR6,Rp 7.850.000
17,ASUS DUAL RX 6600 8Gb GDDR6,Rp 8.450.000
18,SAPPHIRE RX 6600 PULSE 8Gb GDDR6,Rp 7.900.000
19,MSI RX 6600 XT MECH 2X 8Gb GDDR6,Rp 10.750.000
20,ASUS ROG STRIX LC GAMING RX 6900 XT TOP OC - LIQUID COOLER 16GB GDDR6,Rp 45.999.000
21,POWERCOLOR RX 6600 XT RED DEVIL 8Gb GDDR6,Rp 11.250.000
22,POWERCOLOR RX 6600 XT HELLHOUND 8Gb GDDR6,Rp 10.450.000
23,ASUS ROG STRIX GAMING RX 6600 XT OC 8Gb GDDR6,Rp 12.950.000
24,ASROCK Radeon RX 6700 XT PHANTOM GAMING D OC 12GB OC GDDR6,Rp 15.850.000
25,ASUS DUAL RX 6700 XT 12GB GDDR6,Rp 16.350.000
26,PowerColor Radeon RX 6700 XT RED DEVIL 12GB GDDR6,Rp 16.100.000
27,PowerColor RX 6900 XT LIQUID DEVIL 16GB GDDR6,Rp 32.850.000
28,PowerColor RX 6800 XT RED DRAGON 16GB GDDR6,Rp 23.850.000
29,ASUS TUF RX 6900 XT GAMING OC 16GB GDDR6,Rp 29.850.000
30,ASUS TUF RX 6800 XT GAMING OC 16GB GDDR6,Rp 23.250.000
31,PowerColor RX 6800 XT RED DEVIL 16GB GDDR6 OC,Rp 25.450.000
32,PowerColor RX 6900 XT RED DEVIL 16GB GDDR6,Rp 28.850.000
33,ASUS TUF RX 6800 GAMING OC 16GB GDDR6,Rp 20.850.000
34,SAPPHIRE R5 230 1GB DDR3,Rp 505.000
35,PowerColor R7 250 2GB DDR3 128Bit,Rp 1.180.000
36,PowerColor RX 550 4GB DDR5 128bit,Rp 2.435.000
37,PowerColor R5 230 1GB DDR3,Rp 470.000
38,PowerColor R5 230 2GB DDR3,Rp 560.000
39,MSI RADEON RX 6500 XT MECH 2X OC 4GB GDDR6,Rp 4.750.000
40,POWERCOLOR RX 6500 XT ITX 4GB GDDR6,Rp 3.880.000
41,ASUS ROG STRIX RX 6700 XT GAMING OC 12GB GDDR6,Rp 17.550.000
