date,daily_confirmed_cases,daily_deaths,countries_and_territories,geo_id,pop_data_2019
2020-08-01,0,0,Laos,LA,7169456
2020-08-02,0,0,Laos,LA,7169456
2020-08-03,0,0,Laos,LA,7169456
2020-08-04,0,0,Laos,LA,7169456
2020-08-05,0,0,Laos,LA,7169456
2020-08-06,0,0,Laos,LA,7169456
2020-08-07,0,0,Laos,LA,7169456
2020-08-08,0,0,Laos,LA,7169456
2020-08-09,0,0,Laos,LA,7169456
2020-08-10,0,0,Laos,LA,7169456
2020-08-11,0,0,Laos,LA,7169456
2020-08-12,0,0,Laos,LA,7169456
2020-08-13,0,0,Laos,LA,7169456
2020-08-14,0,0,Laos,LA,7169456
2020-08-15,0,0,Laos,LA,7169456
2020-08-16,0,0,Laos,LA,7169456
2020-08-17,0,0,Laos,LA,7169456
2020-08-18,0,0,Laos,LA,7169456
2020-08-19,0,0,Laos,LA,7169456
2020-08-20,0,0,Laos,LA,7169456
2020-08-21,0,0,Laos,LA,7169456
2020-08-22,2,0,Laos,LA,7169456
2020-08-23,0,0,Laos,LA,7169456
2020-08-24,0,0,Laos,LA,7169456
2020-08-25,0,0,Laos,LA,7169456
2020-08-26,0,0,Laos,LA,7169456
2020-08-27,0,0,Laos,LA,7169456
2020-08-28,0,0,Laos,LA,7169456
2020-08-29,0,0,Laos,LA,7169456
2020-08-30,0,0,Laos,LA,7169456
2020-08-31,0,0,Laos,LA,7169456
2020-08-09,92,0,China,CN,1433783692
2020-08-17,96,0,China,CN,1433783692
2020-08-18,66,0,China,CN,1433783692
2020-08-23,38,0,China,CN,1433783692
2020-08-24,41,0,China,CN,1433783692
2020-08-25,23,0,China,CN,1433783692
2020-08-06,122,1,China,CN,1433783692
2020-08-08,120,1,China,CN,1433783692
2020-08-15,70,1,China,CN,1433783692
2020-08-20,33,1,China,CN,1433783692
2020-08-26,34,1,China,CN,1433783692
2020-08-27,32,1,China,CN,1433783692
2020-08-31,32,1,China,CN,1433783692
2020-08-01,166,2,China,CN,1433783692
2020-08-03,158,2,China,CN,1433783692
2020-08-16,65,2,China,CN,1433783692
2020-08-19,53,2,China,CN,1433783692
2020-08-22,49,2,China,CN,1433783692
2020-08-28,30,2,China,CN,1433783692
2020-08-04,114,3,China,CN,1433783692
2020-08-07,132,3,China,CN,1433783692
2020-08-12,58,3,China,CN,1433783692
2020-08-14,99,3,China,CN,1433783692
2020-08-21,40,3,China,CN,1433783692
2020-08-29,22,3,China,CN,1433783692
2020-08-30,27,3,China,CN,1433783692
2020-08-05,107,4,China,CN,1433783692
2020-08-11,113,4,China,CN,1433783692
2020-08-13,81,4,China,CN,1433783692
2020-08-10,121,5,China,CN,1433783692
2020-08-02,172,6,China,CN,1433783692
2020-08-01,5,0,Cambodia,KH,16486542
2020-08-02,1,0,Cambodia,KH,16486542
2020-08-03,0,0,Cambodia,KH,16486542
2020-08-04,0,0,Cambodia,KH,16486542
2020-08-05,3,0,Cambodia,KH,16486542
2020-08-06,0,0,Cambodia,KH,16486542
2020-08-07,0,0,Cambodia,KH,16486542
2020-08-08,3,0,Cambodia,KH,16486542
2020-08-09,0,0,Cambodia,KH,16486542
2020-08-10,5,0,Cambodia,KH,16486542
2020-08-11,15,0,Cambodia,KH,16486542
2020-08-12,2,0,Cambodia,KH,16486542
2020-08-13,4,0,Cambodia,KH,16486542
2020-08-14,1,0,Cambodia,KH,16486542
2020-08-15,0,0,Cambodia,KH,16486542
2020-08-16,0,0,Cambodia,KH,16486542
2020-08-17,0,0,Cambodia,KH,16486542
2020-08-18,0,0,Cambodia,KH,16486542
2020-08-19,0,0,Cambodia,KH,16486542
2020-08-20,0,0,Cambodia,KH,16486542
2020-08-21,0,0,Cambodia,KH,16486542
2020-08-22,0,0,Cambodia,KH,16486542
2020-08-23,0,0,Cambodia,KH,16486542
2020-08-24,0,0,Cambodia,KH,16486542
2020-08-25,0,0,Cambodia,KH,16486542
2020-08-26,0,0,Cambodia,KH,16486542
2020-08-27,0,0,Cambodia,KH,16486542
2020-08-28,0,0,Cambodia,KH,16486542
2020-08-29,0,0,Cambodia,KH,16486542
2020-08-30,0,0,Cambodia,KH,16486542
2020-08-31,1,0,Cambodia,KH,16486542
2020-08-02,9,0,Malaysia,MY,31949789
2020-08-03,14,0,Malaysia,MY,31949789
2020-08-04,2,0,Malaysia,MY,31949789
2020-08-05,1,0,Malaysia,MY,31949789
2020-08-06,21,0,Malaysia,MY,31949789
2020-08-07,15,0,Malaysia,MY,31949789
2020-08-08,25,0,Malaysia,MY,31949789
2020-08-09,7,0,Malaysia,MY,31949789
2020-08-10,13,0,Malaysia,MY,31949789
2020-08-11,11,0,Malaysia,MY,31949789
2020-08-12,9,0,Malaysia,MY,31949789
2020-08-13,11,0,Malaysia,MY,31949789
2020-08-14,15,0,Malaysia,MY,31949789
2020-08-15,20,0,Malaysia,MY,31949789
2020-08-16,26,0,Malaysia,MY,31949789
2020-08-17,25,0,Malaysia,MY,31949789
2020-08-18,12,0,Malaysia,MY,31949789
2020-08-19,7,0,Malaysia,MY,31949789
2020-08-20,16,0,Malaysia,MY,31949789
2020-08-21,5,0,Malaysia,MY,31949789
2020-08-22,9,0,Malaysia,MY,31949789
2020-08-23,8,0,Malaysia,MY,31949789
2020-08-24,10,0,Malaysia,MY,31949789
2020-08-25,7,0,Malaysia,MY,31949789
2020-08-26,11,0,Malaysia,MY,31949789
2020-08-27,6,0,Malaysia,MY,31949789
2020-08-28,5,0,Malaysia,MY,31949789
2020-08-29,10,0,Malaysia,MY,31949789
2020-08-30,11,0,Malaysia,MY,31949789
2020-08-01,12,1,Malaysia,MY,31949789
2020-08-31,17,1,Malaysia,MY,31949789
2020-08-01,2,0,Thailand,TH,69625581
2020-08-02,5,0,Thailand,TH,69625581
2020-08-03,3,0,Thailand,TH,69625581
2020-08-04,1,0,Thailand,TH,69625581
2020-08-05,7,0,Thailand,TH,69625581
2020-08-06,2,0,Thailand,TH,69625581
2020-08-07,15,0,Thailand,TH,69625581
2020-08-08,3,0,Thailand,TH,69625581
2020-08-09,3,0,Thailand,TH,69625581
2020-08-10,0,0,Thailand,TH,69625581
2020-08-11,0,0,Thailand,TH,69625581
